user_id,username,group_name,group_id,member_label,status,full error message
5382933077,,iMobile Phone Store,3060514178,Mä kǐ,Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
6841447088,,iMobile Phone Store,3060514178,Mean (855967678599),Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
1152886499,,iMobile Phone Store,3060514178,LengTrY,Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
8192218353,,iMobile Phone Store,3060514178,SOK,Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
8028959694,,iMobile Phone Store,3060514178,Da,Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
5846502820,,iMobile Phone Store,3060514178,Khoeun,Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
7167855755,,iMobile Phone Store,3060514178,Horng,Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
7136253012,,iMobile Phone Store,3060514178,CHEN,Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
6297821694,,iMobile Phone Store,3060514178,Mony,Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
7400031767,,iMobile Phone Store,3060514178,បញ្ញា,Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
5772873027,theng2007,iMobile Phone Store,3060514178,ប៊ុន (@theng2007),Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
1734705787,,iMobile Phone Store,3060514178,Puk,Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
7075235802,,iMobile Phone Store,3060514178,Khim,Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
7535538333,,iMobile Phone Store,3060514178,Sorli,Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
1267429403,tip23455,iMobile Phone Store,3060514178,Ah Skyyy🎶 (@tip23455),Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
1585448890,chanpanha3,iMobile Phone Store,3060514178,Chan (@chanpanha3),Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
7357310095,hashaTDN,iMobile Phone Store,3060514178,ហេង ឆេងលាភ (@hashaTDN),Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
1839155643,Rith_Calvin,iMobile Phone Store,3060514178,Thunrith (@Rith_Calvin),Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
8007217028,,iMobile Phone Store,3060514178,No,Error,Invite failed: The provided user is not a mutual contact (caused by InviteToChannelRequest)
